OID_,CLASS_NAME,SUM_AREA,MERGE_SRC
26,Land,16766380.750000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_47_60_00_2008_classified_vec1
27,Water,298351.500000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_47_60_00_2008_classified_vec1
28,Glacier,2543794.250000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_47_60_05_2008_classified_vec1
29,Land,22456205.750000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_47_60_05_2008_classified_vec1
30,Glacier,6726164.250000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_47_60_50_2008_classified_vec1
31,Land,17633984.250000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_47_60_50_2008_classified_vec1
32,Water,639851.500000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_47_60_50_2008_classified_vec1
33,Glacier,8363354.000000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_47_60_55_2008_classified_vec1
34,Land,16403721.500000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_47_60_55_2008_classified_vec1
35,Water,232924.500000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_47_60_55_2008_classified_vec1
36,Glacier,9520603.250000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_47_61_00_2008_classified_vec1
37,Land,13951395.000000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_47_61_00_2008_classified_vec1
38,Water,1528001.750000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_47_61_00_2008_classified_vec1
39,Glacier,1971589.750000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_47_61_50_2008_classified_vec1
40,Land,21334026.250000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_47_61_50_2008_classified_vec1
41,Water,1694384.000000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_47_61_50_2008_classified_vec1
42,Glacier,10822992.250000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_47_61_55_2008_classified_vec1
43,Land,14177007.750000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_47_61_55_2008_classified_vec1
44,Glacier,2711263.000000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_47_62_00_2008_classified_vec
45,Land,20429521.750000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_47_62_00_2008_classified_vec
46,Water,1859215.250000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_47_62_00_2008_classified_vec
47,Glacier,10294491.500000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_47_62_05_2008_classified_vec
48,Land,14705508.500000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_47_62_05_2008_classified_vec
49,Glacier,4524432.500000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_47_62_50_2008_classified_vec
50,Land,20260356.500000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_47_62_50_2008_classified_vec
51,Water,215211.000000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_47_62_50_2008_classified_vec
52,Glacier,7350556.500000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_48_60_00_2008_classified_vec1
53,Land,17571975.250000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_48_60_00_2008_classified_vec1
54,Water,77468.250000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_48_60_00_2008_classified_vec1
55,Glacier,3350498.000000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_48_60_05_2008_classified_vec1
56,Land,20667706.250000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_48_60_05_2008_classified_vec1
57,Water,981795.750000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_48_60_05_2008_classified_vec1
58,Glaciers,7036725.250000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_48_60_55_2008_classified_vec
59,Land,16426778.750000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_48_60_55_2008_classified_vec
60,Water,1536496.000000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_48_60_55_2008_classified_vec
61,Glacier,11364600.000000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_48_61_00_2008_classified_vec1
62,Land,13635400.000000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_48_61_00_2008_classified_vec1
63,Glacier,12549324.750000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_48_61_05_2008_classified_vec1
64,Land,12450675.250000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_48_61_05_2008_classified_vec1
65,Glacier,5962714.500000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_48_61_50_2008_classified_vec
66,Land,19037285.500000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_48_61_50_2008_classified_vec
67,Glacier,1396078.000000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_48_62_00_2008_classified_vec
68,Land,23398282.250000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_48_62_00_2008_classified_vec
69,Water,205639.750000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_48_62_00_2008_classified_vec
