OID_,CLASS_NAME,SUM_AREA,MERGE_SRC
0,Glacier,2899898.750000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_46_59_55_2008_classified_vec2
1,Land,18432155.500000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_46_59_55_2008_classified_vec2
2,Water,3667945.750000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_46_59_55_2008_classified_vec2
3,Glacier,8301114.750000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_46_60_00_2008_classified_vec1
4,Land,16698885.250000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_46_60_00_2008_classified_vec1
5,Glacier,2645076.750000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_46_60_05_2008_classified_vec1
6,Land,22354923.250000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_46_60_05_2008_classified_vec1
7,Glacier,5613140.000000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_46_60_50_2008_classified_vec1
8,Land,19386860.000000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_46_60_50_2008_classified_vec1
9,Glacier,12023697.250000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_46_60_55_2008_classified_vec1
10,Land,12976302.750000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_46_60_55_2008_classified_vec1
11,Glacier,13301971.500000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_46_61_50_2008_classified_vec
12,Land,11481863.750000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_46_61_50_2008_classified_vec
13,Water,216164.750000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_46_61_50_2008_classified_vec
14,Glacier,2370921.250000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_46_62_05_2008_classified_vec
15,Land,22273060.250000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_46_62_05_2008_classified_vec
16,Water,356018.500000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_46_62_05_2008_classified_vec
17,Glacier,4121616.500000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_46_62_50_2008_classified_vec
18,Land,20447821.000000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_46_62_50_2008_classified_vec
19,Water,430562.500000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_46_62_50_2008_classified_vec
20,Glacier,9722334.250000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_46_62_55_2008_classified_vec
21,Land,15277665.750000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_46_62_55_2008_classified_vec
22,Glacier,3267027.750000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_47_59_05_2008_classified_vec1
23,Land,21152730.500000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_47_59_05_2008_classified_vec1
24,Water,580241.750000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_47_59_05_2008_classified_vec1
25,Glacier,7935267.750000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2008_47_60_00_2008_classified_vec1
